AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
aliexpress,15-Filter,0,0,"['items', 'filter', 'items', 'filter', 'items', 'filter', 'filter', 'filter']","['home', 'search', 'search', 'items', 'filter', 'filter', 'filter']","['menu_more', 'filter_option', 'menu_more', 'filter_option', 'filter', 'filter_option', 'filter_option', 'apply']","['search_bar', 'search_bar', 'search', 'filter', 'filter_option', 'filter_option', 'apply']",1.0,0.75,0.5,0.6,4.0,0.5,
aliexpress,15-Filter,0,1,"['home', 'items', 'filter', 'items', 'filter']","['home', 'search', 'search', 'items', 'filter', 'filter', 'filter']","['search_bar', 'filter', 'apply', 'filter', 'filter_option']","['search_bar', 'search_bar', 'search', 'filter', 'filter_option', 'filter_option', 'apply']",1.0,1.0,0.75,0.8,4.0,0.2,
aliexpress,15-Filter,1,0,"['items', 'filter', 'items', 'filter', 'items', 'filter', 'filter', 'filter']","['home', 'search', 'search', 'items', 'filter', 'filter', 'filter']","['menu_more', 'filter_option', 'menu_more', 'filter_option', 'filter', 'filter_option', 'filter_option', 'apply']","['search_bar', 'search_bar', 'search', 'filter', 'filter_option', 'filter_option', 'apply']",1.0,0.75,0.5,0.6,4.0,0.5,
aliexpress,15-Filter,1,1,"['home', 'items', 'filter', 'items', 'filter']","['home', 'search', 'search', 'items', 'filter', 'filter', 'filter']","['search_bar', 'filter', 'apply', 'filter', 'filter_option']","['search_bar', 'search_bar', 'search', 'filter', 'filter_option', 'filter_option', 'apply']",1.0,1.0,0.75,0.8,4.0,0.2,
6pm,15-Filter,0,0,"['home', 'search', 'filter', 'items', 'filter', 'filter']",['home'],"['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']",['to_search'],0.25,0.2,1.0,1.0,5.0,0.16666666666666666,
6pm,15-Filter,0,1,"['home', 'search', 'items', 'filter', 'filter']",['home'],"['search_bar', 'search', 'filter_option', 'filter_option', 'apply']",['to_search'],0.25,0.0,1.0,0.0,5.0,0.0,
6pm,15-Filter,0,2,"['home', 'search', 'items', 'filter', 'filter']",['home'],"['to_search', 'search', 'filter', 'filter_option', 'apply']",['to_search'],0.25,0.2,1.0,1.0,4.0,0.2,
6pm,15-Filter,0,3,"['home', 'search', 'filter', 'items', 'filter', 'filter']",['home'],"['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']",['to_search'],0.25,0.2,1.0,1.0,5.0,0.16666666666666666,
6pm,15-Filter,0,4,"['home', 'search', 'filter', 'filter', 'items', 'filter', 'filter']",['home'],"['search_bar', 'search', 'item_option', 'male', 'filter_option', 'filter_option', 'apply']",['to_search'],0.25,0.0,1.0,0.0,7.0,0.0,
6pm,15-Filter,0,5,"['home', 'search', 'filter', 'items', 'filter', 'filter']",['home'],"['to_search', 'search', 'apply', 'filter', 'filter_option', 'apply']",['to_search'],0.25,0.2,1.0,1.0,5.0,0.16666666666666666,
